-7.94,-2.75,-14.20,-1.03,-0.78,0.18
-6.97,-5.93,-17.21,1.68,2.03,-0.53
-5.13,-6.65,-10.38,-2.51,0.30,-0.22
-4.54,-6.09,-7.36,-2.74,0.27,0.19
-7.20,-7.96,-5.52,-2.26,-0.85,-0.43
-9.66,-8.92,-7.18,0.75,1.51,0.00
-8.04,-7.59,-9.51,0.49,-1.70,-1.40
-6.62,-1.38,-10.05,0.76,-3.41,-0.10
-4.57,-3.24,-20.17,6.65,2.09,-0.72
-0.93,-7.94,-13.39,-1.78,-1.46,-1.35
1.32,-15.37,-12.93,-3.25,-1.51,-3.08
-2.11,-10.82,-9.75,-5.06,-2.13,-1.63
-5.63,-7.77,-2.38,-2.08,2.30,-1.10
-4.73,-10.43,-0.96,-2.83,-2.99,0.10
-5.89,-9.87,-6.55,0.64,-1.28,-0.99
-8.22,-2.00,-11.43,0.52,-3.92,-2.86
-2.75,-1.61,-21.85,8.21,4.26,0.46
0.67,-10.27,-12.66,-5.81,-3.57,-0.56
0.49,-16.72,-12.75,-1.93,-2.78,-2.08
-1.12,-16.51,-7.23,-8.25,-5.00,-2.58
-4.92,-14.03,6.50,-5.85,-5.30,3.47
-4.27,-9.36,-2.35,-2.40,-2.37,0.84
-9.28,-8.81,-6.86,0.88,-1.15,-0.70
-7.11,-7.36,-9.44,3.83,0.26,-0.95
-6.39,-2.84,-13.05,3.30,-1.20,-0.92
-5.04,-7.07,-20.54,1.52,0.28,0.31
-0.10,-12.72,-17.26,-7.04,-4.73,-4.88
1.44,-10.45,-11.30,-2.10,1.29,-2.16
-5.90,-11.41,-2.78,-6.85,-1.11,1.40
-3.26,-7.81,-3.76,-0.91,-0.13,-0.51
-5.80,-8.67,-6.55,1.13,-0.94,-1.94
-8.99,-7.80,-13.14,2.67,-2.75,-4.93
-7.04,2.37,-13.10,0.27,-1.24,0.89
-5.88,-1.36,-10.03,-0.66,0.60,-0.54
-7.83,-12.09,-22.25,-1.93,-4.98,0.53
-1.38,-16.78,-10.94,-2.16,-1.75,-0.32
3.59,-12.66,-5.85,-7.84,-0.16,-3.99
-4.74,-10.27,3.52,-7.63,-6.74,0.64
-6.19,-13.01,-10.49,1.59,-0.37,-3.48
-6.64,-7.80,-9.06,2.42,0.84,-2.13
-8.13,-1.22,-12.69,0.97,0.46,-1.41
-1.21,-2.31,-16.51,1.67,1.38,0.40
-3.81,-12.14,-12.68,0.44,1.05,-0.84
-2.82,-12.24,-9.36,-3.75,-0.53,0.39
