6.11,2.47,-12.07,-1.60,-1.36,0.59
6.31,2.32,-12.09,-1.32,-1.11,0.49
7.78,2.25,-11.62,0.97,-1.16,0.42
8.06,2.45,-11.90,1.16,-1.17,0.46
8.54,2.82,-12.28,1.34,-1.16,0.52
9.08,3.47,-12.50,1.50,-1.08,0.57
9.64,4.37,-12.73,1.64,-0.95,0.59
9.41,3.79,-10.14,3.11,0.16,0.89
9.12,5.03,-10.00,3.18,0.25,0.94
8.85,6.39,-9.95,3.09,0.16,1.08
9.11,7.08,-9.87,2.92,0.01,1.29
9.14,6.91,-9.68,2.73,-0.10,1.49
8.69,6.31,-9.48,2.53,-0.23,1.67
6.07,1.43,-10.45,0.67,-1.68,2.27
5.87,1.36,-10.84,0.67,-1.35,2.14
5.61,1.04,-10.75,0.67,-1.02,1.99
5.20,0.65,-10.40,0.70,-0.74,1.82
4.76,0.42,-9.96,0.79,-0.51,1.66
4.43,0.48,-9.47,0.84,-0.32,1.49
2.30,2.18,-7.00,-0.74,0.00,0.58
2.57,2.01,-7.14,-0.93,0.15,0.43
2.69,2.11,-7.35,-1.12,0.33,0.24
2.78,2.67,-7.58,-1.34,0.51,0.05
2.93,3.42,-7.80,-1.63,0.66,-0.13
8.97,4.85,-12.67,-4.34,0.64,-0.92
10.10,5.28,-13.33,-4.02,1.19,-1.04
9.94,6.14,-13.70,-3.62,1.75,-1.15
8.77,7.88,-13.69,-3.38,2.09,-1.21
7.14,10.13,-13.74,-3.58,2.06,-1.16
7.63,3.32,-16.48,-3.26,-1.14,1.52
8.75,3.93,-17.14,-1.82,0.45,1.12
1.52,10.89,-22.42,-2.03,-0.09,1.21
6.33,6.79,-18.38,-2.44,0.38,1.01
3.56,4.34,-15.01,-2.34,0.51,0.85
2.84,3.73,-13.66,-1.88,0.51,0.65
5.09,2.49,-12.66,0.46,0.15,-0.00
5.19,3.31,-12.22,0.62,-0.02,0.10
4.90,4.39,-12.11,0.71,-0.22,0.27
4.47,5.43,-12.32,0.71,-0.58,0.47
